119002590620,N
001901390400,N
063004490021,N
039301860920,N
037701850090,N
106301830781,N
103000940690,N
011800820771,N
068203010241,N
016004100070,N
113602890400,N
058000370520,N
040602330750,N
050403700291,N
110004470880,N
062101840130,N
017502250200,N
080600930440,N
116802210110,N
077202400931,N
077801210781,N
000502810130,N
044400280640,N
102404070251,N
008800550930,N
093501310801,N
036800580230,N
077400600090,N
000703710561,N
060101840261,N
074301060271,N
090002800780,N
077003760510,N
123502710170,N
017404330320,N
031803950321,N
077903930751,N
041401700330,N
034901610321,P
046802300250,P
060003570721,P
112004040010,P
062502070500,P
076403010261,P
117102510631,P
097900850500,P
049400220260,P
114804250940,P
058503970671,P
014504470060,P
004403190501,P
064003690501,P
057904410880,P
108502240021,P
087003460761,P
043100310740,P
074701820800,P
103902540821,P
070904260761,P
083302860481,P
065602520050,P
121400520860,P
044800770790,P
010801330270,P
068402430521,P
115101650711,P
092402750011,P
117502060660,P
073702930410,P
028200500820,P
053001770810,P
070801990100,P
042401720371,P
025800900700,P
019603950371,P
041002070811,P
035003060610,P
082604410631,P
023802710161,P
052601670541,P
056003100930,P
013202930631,P
075901940550,P
